title,price,brand,type,years,milage,location,vehicle_type,url
Honda Beat 2009 Tgn pertama dr baru,6200000.0,honda,beat,2009.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2009-plat-depok-pajak-panjang-10-2022-iid-867383404
Honda beat karbu 2012 kondisi istimewa,7500000.0,honda,beat,2012.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-karbu-2012-dki-pajak-panjang-11-2022-iid-867383182
HONDA BEAT POP CBS ESP PGM FI 2016 SUPER ORIGINAL,9750000.0,honda,beat,2016.0,45.000-50.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-2016-gress-iid-866497946
forsale motor honda beat street th.2018 cash/credit,13950000.0,honda,beat,2018.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijualnya-cash-atau-kredit-honda-beat-street-2018-iid-867382099
dijual cepat motor honda beat fi th.2017 cash/credit,12950000.0,honda,beat,2020.0,35.000-40.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-beat-fi-duluxe-iid-867381898
Honda beat deluxe 2020,15500000.0,honda,beat,2020.0,10.000-15.000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-2020-iid-867381647
Jual Honda beat 2014,8200000.0,honda,beat,2014.0,20.000-25.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2014-pajak-hidup-panjang-iid-867381578
Honda beat 2010 karburator,7000000.0,honda,beat,2010.0,30.000-35.000,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2010-bisa-tt-iid-867381379
Honda beat th 2013 (Pajak hidup  B. DKI),8450000.0,honda,beat,2012.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-tahun-2012-pajak-dki-iid-867381285
Honda beat th 2013 (Pajak hidup  B. DKI),8450000.0,honda,beat,2012.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-tahun-2012-pajak-dki-iid-867381285
Honda Beat 2020 CBS ISS || Pajak ON 06.2023,14650000.0,honda,beat,2020.0,10.000-15.000,"Koja, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2020-tipe-iss-murah-aja-iid-867378109
Honda beat 2021 tgn1 dribaru istimewa kyk baru 100% tanpa cacat,16650000.0,honda,beat,2021.0,5.000-10.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-new-2021istimewa-tanpa-cacat-kyk-baru-100-super-asli-iid-867377889
Jual honda beat 2013 orange hitam surat2 lgkp pjk hidup,9000000.0,honda,beat,2013.0,55.000-60.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-honda-beat-2013-orange-hitam-surat2-lgkp-pjk-hidup-iid-867376756
Dicari Honda beat thn 2017 plat jakarta,9000000.0,honda,beat,2017.0,30.000-35.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2017-iid-867376566
Jual honda beat 2013 orange hitam surat2 lgkp pjk hidup,9000000.0,honda,beat,2013.0,55.000-60.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-honda-beat-2013-orange-hitam-surat2-lgkp-pjk-hidup-iid-867376451
"HONDA BEAT FI DELUXE ISSTAHUN 2020 ,GRESS SIAP PAKAI",16000000.0,honda,beat,2020.0,15.000-20.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-2020-iid-867375367
Dijual honda beat cbs iss tahun 2018 pajak off 2x,12500000.0,honda,beat,2018.0,35.000-40.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-cbs-2018-iid-853192009
Honda Beat ESP Tahun 2015 Pajek Dki,9500000.0,honda,beat,2015.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-esp-tahun-2015-mesin-rawatan-iid-867374725
dijual honda beat karbu tahun 2009,6500000.0,honda,beat,2012.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-karbu-tahun-2012-masih-oke-iid-867374485
HONDA BEAT 2016 ISS,10800000.0,honda,beat,2016.0,20.000-25.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2016-pajak-hidup-iid-867371394
Honda beat deluxe 2020,16700000.0,honda,beat,2020.0,10.000-15.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-2020-cash-credit-iid-867370424
BEAT SPORTY CBS - 2018,13000000.0,honda,beat,2018.0,20.000-25.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-cbs-2018-iid-867370148
Dijual Honda Beat CW karbu tahun 2012,8500000.0,honda,beat,2012.0,25.000-30.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-cw-karbu-tahun-2012-iid-867369863
Dijual Honda Beat CW FI  tahun 2017,13100000.0,honda,beat,2017.0,25.000-30.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-cw-fi-tahun-2017-iid-867369678
Dijual Honda Beat CW FI CBS ISS idling stop tahun 2017,13350000.0,honda,beat,2017.0,25.000-30.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-cw-fi-cbs-iss-idling-stop-tahun-2017-iid-867369387
Honda beat eco 2017 pajak panjang mulus,12300000.0,honda,beat,2017.0,55.000-60.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2017-lengkp-pajak-panjang-iid-866106239
Cari motor beat,8000000.0,honda,beat,2016.0,35.000-40.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dicari-beat-yg-bu-iid-867369038
Honda beat new 2021istimewa tanpa cacat kyk baru 100% super asli,16550000.0,honda,beat,2019.0,20.000-25.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-street-2019-istimewa-kykbaru-100-orsinil-tanpa-cacat-iid-867367023
Honda beat 2019 hitam ors tgn ke 1 dari baru,14000000.0,honda,beat,2019.0,10.000-15.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-thn-2019-pajek-idup-iid-867365035
Motor honda beat thn 2018 ke atas surat2 lgkp pjk hidup,7000000.0,honda,beat,2017.0,10.000-15.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/cari-motor-beat-second-thn-2018-kondisi-normal-srt2-lgkp-pjk-hidup-iid-867363264
honda beat deluxe th.2021,16950000.0,honda,beat,2021.0,,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/motor-second-berkualitas-beat-deluxe-2021-iid-867362127
dijual cepat motor honda beat deluxe th.2021 cash/credit,16950000.0,honda,beat,2021.0,,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-2021-murah-proses-kredit-mudah-dan-cepat-iid-867361944
motor honda beat deluxe th.2021 cash/credit,16950000.0,honda,beat,2021.0,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/motor-second-rasa-baru-honda-beat-deluxe-2021-mulus-kredit-cash-bisa-iid-867361720
Honda beat deluxe CBS iss 110 LED 2021 bln 12 pajak panjang F- Bogor.,17750000.0,honda,beat,2021.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-2021-second-kredit-cash-bergaransi-iid-867361478
Jual honda beat 2013 orange hitam surat2 lgkp pjk hidup,9000000.0,honda,beat,2013.0,Individu,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-honda-beat-2013-orange-hitam-surat-lgkp-pjk-hidup-iid-867361049
Honda Beat Eco Th 2019 Gress siap pakai,14450000.0,honda,beat,2017.0,15.000-20.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2017-warna-putih-gress-siap-pakai-iid-866923308
HONDA Beat 2011 karbu,7800000.0,honda,beat,2011.0,35.000-40.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-karbu-2011-gres-iid-867359704
Honda beat 2017,12000000.0,honda,beat,2017.0,45.000-50.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2017-iid-867359173
Honda beat eco th 2017 siap gas,11300000.0,honda,beat,2017.0,,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-th-2017-iid-867309191
Honda beat eco th 2017,11200000.0,honda,beat,2017.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-th-2017-siap-gas-iid-867309955
Honda Beat Fi eco Iss Th 2019 Cakep,13800000.0,honda,beat,2016.0,20.000-25.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-th-2019-gress-siap-pakai-iid-867145416
BEAT CW FI 2019 ISTIMEWA KM 5K Cash Kredit Bisa TT Cicilan CC 0%,15250000.0,honda,beat,2022.0,0-5.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/new-beat-deluxe-2022-km-5k-cash-kredit-bisa-tt-bergaransi-iid-867357980
Honda Beat Fi 2014 Muluss Istimewa Terawat,8300000.0,honda,beat,2014.0,Individu,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-fi-2014-jos-iid-867356646
Cari motor beat second thn 2018 kondisi normal srt2 lgkp pjk hidup,7000000.0,honda,beat,2018.0,10.000-15.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/motor-honda-beat-thn-2018-ke-atas-surat2-lgkp-pjk-hidup-iid-867356413
Jual motor beat street,14750000.0,honda,beat,2020.0,40.000-45.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-street-iid-867356359
Honda beat echo tahun 2017.,12450000.0,honda,beat,2017.0,70.000-75.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-motor-beat-2017-lengkap-pajak-hidup-iid-864463250
Yamaha Xeon 2011 Karbu Pajak Baru Bayar B DKI bisa Tt,6200000.0,honda,beat,2011.0,30.000-35.000,"Matraman, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-karbu-2011-orisinil-cakep-bisa-tt-iid-867354493
Honda Beat 2021,15750000.0,honda,beat,2021.0,15.000-20.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2021-cbs-iss-tertinggi-plat-bekasi-jarang-pakai-iid-867353636
Jual Honda beat fi setater Alus PJK hidup,9400000.0,honda,beat,2016.0,25.000-30.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-fi-2016-siap-pakai-pajak-panjang-iid-867352528
Jual/Tt Honda beat Surat BPKB Aja mesin joss,5850000.0,honda,beat,2013.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2013-bpkb-ada-stnk-hilang-iid-867351485
Beat Streat 2020 mesin cakep lengkap bagus,16300000.0,honda,beat,2020.0,Diler,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-streat-2020-mesin-cakep-lengkap-bagus-iid-867350620
MATIC LANCAR GAES HONDA BEAT DLX TAHUN 2021,15900000.0,honda,beat,2021.0,5.000-10.000,"Tebet, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-dlx-dp-min-tahun-2021-gaes-iid-867349967
Beat deluxe Dlx 2021 mulus bisa cash kredit,16000000.0,honda,beat,2021.0,5.000-10.000,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-super-keren-dlx-tahun-2021-iid-867349852
GENIO CBS ISS 2020 GRESS Cash Kredit Bisa TT Fino vario,16750000.0,honda,beat,2020.0,10.000-15.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/genio-iss-2020-gress-cash-kredit-bisa-tt-beat-lexi-iid-867349748
Beat deluxe Dlx 2021 mulus bisa cash kredit,16000000.0,honda,beat,2021.0,5.000-10.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-dlx-dp-minim-tahun-2021-iid-867349729
NEW SUPRA X 125 CW FI 2020 Cash Kredit Bisa TT Bergaransi,16500000.0,honda,beat,2020.0,5.000-10.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/new-beat-cw-fi-2020-gress-cash-kredit-bisa-tt-mio-fino-iid-867349594
Honda beat esp setater Alus tahun 2015 gres,9600000.0,honda,beat,2015.0,5.000-10.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/di-jual-motor-beat-2015-110-cc-surat-lengkap-body-dan-mesin-mulus-iid-867349430
Honda beat street gres,16500000.0,honda,beat,2021.0,Diler,"Sawah Besar, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2021-iid-867349155
D jual Honda beat 2021,15800000.0,honda,beat,2021.0,Diler,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2021-iid-867348933
D jual Honda beat 2021,15800000.0,honda,beat,2021.0,Diler,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2021-iid-867348728
