title,price,brand,type,transmission,milage,fuel,location,url
honda brio satya (2017),Rp 115.000.000,honda,1.2 S Bensin,Manual,110326 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16422, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2019),Rp 165.000.000,honda,1.2 RS Bensin,Manual,56639 Km,Bensin,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2018),Rp 127.000.000,honda,1.2 E Bensin,Manual,59603 Km,Bensin,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2017),Rp 125.000.000,honda,1.2 RS Bensin,Manual,80.000-85.000 Km,Bensin,"Jl. Madrasah No.23, RT.7/RW.1, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420, Gandaria Selatan, Kec. Cilandak, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2017),Rp 125.000.000,honda,1.2 RS Bensin,Manual,80.000-85.000 Km,Bensin,"Jl. Madrasah No.23, RT.7/RW.1, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420, Gandaria Selatan, Kec. Cilandak, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2017),Rp 125.000.000,honda,1.2 RS Bensin,Manual,80.000-85.000 Km,Bensin,"Jl. Madrasah No.23, RT.7/RW.1, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420, Gandaria Selatan, Kec. Cilandak, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2018),Rp 139.000.000,honda,1.2 E Bensin,Otomatis,50598 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2017),Rp 137.000.000,honda,1.2 E Bensin,Automatic,55.000-60.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2016),Rp 119.000.000,honda,1.2 E Bensin,Manual,25.000-30.000 Km,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2013),Rp 110.000.000,honda,1.2 E Bensin,Automatic,135.000-140.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2017),Rp 128.000.000,honda,1.2 E Bensin,Automatic,70.000-75.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2017),Rp 128.000.000,honda,1.2 E Bensin,Manual,70.000-75.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2020),Rp 155.000.000,honda,1.2 E Bensin,Manual,25.000-30.000 Km,Bensin,"Jl. Ahmad Yani, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50242, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa TengahDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2018),Rp 136.000.000,honda,,,,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio satya (2017),Rp 119.000.000,honda,1.2 E Bensin,Manual,46088 Km,Bensin,"Jl. Cut Mutia No.3B, RT.003/RW.001, Sepanjang Jaya, Kec. Rawalumbu, Kota Bks, Jawa Barat 17114, Bekasi Timur, Kecamatan Rawalumbu, Bekasi Timur, Jawa baratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2021),Rp 175.000.000,honda,1.2 E Bensin,Automatic,15.000-20.000 Km,Bensin,"Jl. Ahmad Yani, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50242, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa TengahDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-dp-38-jt-brio-e-cvt-matic-2021-low-km-service-record-iid-864789857
honda brio (2021),Rp 199.000.000,honda,1.2 RS Bensin,Otomatis,25517 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2018),Rp 128.000.000,honda,1.2 Satya E Bensin,Automatic,45.000-50.000 Km,Bensin,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2019),Rp 144.000.000,honda,1.2 Satya E Bensin,Automatic,10.000-15.000 Km,Bensin,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2018),Rp 133.000.000,honda,1.2 Satya E Bensin,,,,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2017),Rp 129.000.000,honda,,,,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2018),Rp 125.000.000,honda,1.2 E Bensin,Manual,35.000-40.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2021),Rp 169.000.000,honda,1.2 E Bensin,Otomatis,12856 Km,Bensin,"Mall Tamini Square. Jl Taman Mini 1 No.1, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2018),Rp 159.000.000,honda,1.2 RS Bensin,Automatic,15.000-20.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2021),Rp 165.000.000,honda,1.2 E Bensin,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2012),Rp 112.500.000,honda,1.3 S Bensin,,,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2019),Rp 167.000.000,honda,1.2 RS Bensin,,,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2017),Rp 130.000.000,honda,1.2 E Bensin,Automatic,50.000-55.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio (2018),Rp 114.000.000,honda,1.2 E Bensin,Manual,40.000-45.000 Km,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2020),Rp 162.000.000,honda,1.2 E Bensin,Automatic,10.000-15.000 Km,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2016),Rp 115.000.000,honda,1.2 S Bensin,Manual,85.000-90.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2021),Rp 115.000.000,honda,1.2 S Bensin,Manual,85.000-90.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2013),Rp 110.000.000,honda,1.2 E Bensin,Automatic,135.000-140.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-2013-12-e-at-bensin-silver-mamin-motor-iid-863227625
honda brio satya (2022),Rp 178.400.000,honda,1.2 E Bensin,Automatic,0-5.000 Km,Bensin,"Kembangan, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
toyota agya (2020),Rp 140.000.000,honda,1.2 TRD Sportivo Bensin,Automatic,5.000-10.000 Km,Bensin,"Kembangan, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2017),Rp 137.000.000,honda,1.2 E Bensin,Automatic,70.000-75.000 Km,Bensin,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2019),Rp 175.000.000,honda,1.2 RS Bensin,Automatic,30.000-35.000 Km,Bensin,"Cipayung, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2018),Rp 159.000.000,honda,1.2 RS Bensin,Automatic,15.000-20.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2021),Rp 165.000.000,honda,1.2 E Bensin,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2012),Rp 112.500.000,honda,1.3 S Bensin,,,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2019),Rp 167.000.000,honda,1.2 RS Bensin,,,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2017),Rp 130.000.000,honda,1.2 E Bensin,Automatic,50.000-55.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2018),Rp 114.000.000,honda,1.2 E Bensin,Manual,40.000-45.000 Km,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2020),Rp 162.000.000,honda,1.2 E Bensin,Automatic,10.000-15.000 Km,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2016),Rp 115.000.000,honda,1.2 S Bensin,Manual,85.000-90.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2021),Rp 115.000.000,honda,1.2 S Bensin,Manual,85.000-90.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2013),Rp 110.000.000,honda,1.2 E Bensin,Automatic,135.000-140.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2013),Rp 110.000.000,honda,1.2 E Bensin,Automatic,135.000-140.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2019),Rp 170.000.000,honda,1.2 RS Bensin,Otomatis,34196 Km,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2018),Rp 145.000.000,honda,,Manual,15.000-20.000 Km,Bensin,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio satya (2017),Rp 137.000.000,honda,1.2 E Bensin,Automatic,55.000-60.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2017-putih-iid-865740093
honda brio (2018),Rp 168.000.000,honda,1.2 RS Bensin,Automatic Triptonic,20.000-25.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2014),Rp 100.000.000,honda,1.2 E Bensin,Manual,115498 Km,Bensin,"Jl. Imam Bonjol No.14, RT.001/RW.005, Panunggangan Bar., Kec. Cibodas, Kota Tangerang, Banten 15139, Panunggangan, Kecamatan Cibodas, Kota Tangerang, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2018),Rp 114.000.000,honda,1.2 E Bensin,Manual,42454 Km,Bensin,"Mall Tamini Square. Jl Taman Mini 1 No.1, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2017),Rp 123.000.000,honda,1.2 E Bensin,Manual,45.000-50.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2017),Rp 132.000.000,honda,1.2 E Bensin,Automatic,90.000-95.000 Km,Bensin,"Kalideres, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2018),Rp 168.000.000,honda,1.2 RS Bensin,Automatic Triptonic,20.000-25.000 Km,Bensin,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2018),Rp 159.000.000,honda,1.2 RS Bensin,Automatic,15.000-20.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2017),Rp 129.000.000,honda,1.2 E Bensin,Manual,20.000-25.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2017),Rp 137.000.000,honda,1.2 E Bensin,Automatic,55.000-60.000 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2018),Rp 139.000.000,honda,1.2 E Bensin,Otomatis,50598 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2016),Rp 148.880.000,honda,1.2 RS Bensin,Automatic,25.000-30.000 Km,Bensin,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2020),Rp 178.000.000,honda,1.2 E Bensin,,,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2016),Rp 125.000.000,honda,1.3 Sports E Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
,,honda,,,,,,https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2019),Rp 160.000.000,honda,1.2 E Bensin,Automatic Triptonic,5.000-10.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2013),Rp 129.000.000,honda,1.2 E Bensin,,,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio (2014),Rp 119.000.000,honda,1.2 E Bensin,Otomatis,47969 Km,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2018),Rp 130.000.000,honda,1.2 E Bensin,Manual,66665 Km,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-at-2018-merah-iid-863867041
honda brio satya (2021),Rp 175.000.000,honda,1.2 E Bensin,Automatic,5.000-10.000 Km,Bensin,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2017),Rp 126.000.000,honda,1.2 E Bensin,Manual,75.000-80.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio (2022),Rp 160.200.000,honda,,Automatic,0-5.000 Km,Bensin,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio (2014),Rp 119.000.000,honda,1.2 E Bensin,,47969 Km,Bensin,"Jl. Cempaka Putih Tengah II No.16, RT.: 01/RW.: 05, Cempaka Putih Timur, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
,Rp 135.000.000,honda,1.2 RS Bensin,Automatic,45.000-50.000 Km,Bensin,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio (2014),Rp 128.000.000,honda,1.2 E Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2018),Rp 145.000.000,honda,1.2 E Bensin,Automatic,,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2015),Rp 118.000.000,honda,1.2 S Bensin,Manual,15.000-20.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2018),Rp 145.000.000,honda,1.2 E Bensin,Automatic,30.000-35.000 Km,Bensin,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2018),Rp 125.000.000,honda,1.2 E Bensin,Manual,41546 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio (2014),Rp 119.000.000,honda,1.2 E Bensin,Otomatis,47969 Km,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2015),Rp 118.000.000,honda,1.2 S Bensin,Manual,15.000-20.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
honda brio satya (2017),Rp 126.000.000,honda,1.2 E Bensin,Manual,75.000-80.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-honda-brio-satya-12-e-bensin-mt-2017-iid-865654500
