title,price,brand,type,transmission,milage,fuel,location,years,milage_class
toyota yaris,150000000,toyota,1.5 G Bensin,Manual,50.000-55.000,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",2015,11
toyota yaris,142000000,toyota,1.5 G Bensin,Manual,50.000-55.000,Bensin,"Palmerah, Jakarta Barat, Jakarta D.K.I.",2015,11
toyota yaris,179000000,toyota,1.5 TRD Sportivo Bensin,Automatic,45.000-50.000,Bensin,"Pedurungan, Semarang Kota, Jawa Tengah",2015,10
toyota yaris,182000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Cilodong, Depok Kota, Jawa Barat",2015,7
toyota yaris,166000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,30.000-35.000,Bensin,"Cimanggis, Depok Kota, Jawa Barat",2015,7
toyota yaris,169500000,toyota,1.5 G Bensin,Automatic,20.000-25.000,Bensin,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",2015,5
toyota yaris,175000000,toyota,1.5 TRD Sportivo Bensin,Automatic,120.000-125.000,Bensin,"Cakung, Jakarta Timur, Jakarta D.K.I.",2015,25
toyota yaris,176000000,toyota,1.5 TRD Sportivo Bensin,Automatic,105.000-110.000,Bensin,"Cibinong, Bogor Kab., Jawa Barat",2015,22
toyota rush,265000000,toyota,1.5 S GR Sport Bensin,Automatic,65.000-70.000,Bensin,"WTC Mangga Dua Lt 3A No 32, Mangga Dua, Mangga Dua, Jakarta Utara, DKI JakartaDapatkan petunjuk",2021,14
toyota rush,268000000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",2021,2
toyota rush,260000000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",2021,2
toyota rush,255000000,toyota,1.5 S GR Sport Bensin,Automatic,5.000-10.000,Bensin,"WTC Mangga Dua Lt 3A No 32, Mangga Dua, Mangga Dua, Jakarta Utara, DKI JakartaDapatkan petunjuk",2021,2
toyota rush,251000000,toyota,1.5 S GR Sport Bensin,Automatic,5.000-10.000,Bensin,"Cakung, Jakarta Timur, Jakarta D.K.I.",2021,2
toyota rush,248000000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",2021,2
toyota rush,246000000,toyota,1.5 S GR Sport Bensin,Automatic Triptonic,5.000-10.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2021,2
toyota rush,243000000,toyota,1.5 TRD Sportivo Bensin,Automatic,20.000-25.000,Bensin,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",2021,5
toyota rush,255000000,toyota,1.5 TRD Sportivo Bensin,Manual,15.000-20.000,Bensin,"Blimbing, Malang Kota, Jawa Timur",2021,4
toyota rush,254500000,toyota,1.5 TRD Sportivo Bensin,Manual,15.000-20.000,Bensin,"Sukun, Malang Kota, Jawa Timur",2021,4
toyota rush,249500000,toyota,1.5 TRD Sportivo Bensin,Manual,15.000-20.000,Bensin,"Andir, Bandung Kota, Jawa Barat",2021,4
