title,price,brand,type,years,milage,location,vehicle_type,url,transmission,fuel
Ultimate Bensin,293750000.0,,,1.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2022-like-new-full-bodykit-km-3970-perak-genap-iid-866498017,,
mitsubishi xpander,225000000.0,mitsubishi,xpander,2017.0,50.000-55.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-at-2017-iid-866494014,Automatic,Bensin
Ultimate Bensin,224000000.0,,,1.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-15-matic-2018-pemakaian-2019-record-istimewa-iid-866491004,,
Ultimate Bensin,293750000.0,,,1.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2022-like-new-full-bodykit-km-3970-perak-genap-iid-866498017,,
mitsubishi xpander,225000000.0,mitsubishi,xpander,2017.0,50.000-55.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-at-2017-iid-866494014,Automatic,Bensin
Ultimate Bensin,224000000.0,,,1.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-15-matic-2018-pemakaian-2019-record-istimewa-iid-866491004,,
Ultimate Bensin,225000000.0,,,1.0,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866490071,,
Sport Bensin,235000000.0,,,1.0,,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-sport-fitur-ultimate-km-19rb-iid-866486566,,
Sport Bensin,290000000.0,,,1.0,,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-sport-2022-barang-baru-harga-miring-iid-866476124,,
Ultimate Bensin,215000000.0,,,1.0,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866464708,,
mitsubishi xpander,219000000.0,mitsubishi,xpander,2019.0,20.000-25.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-sport-2019dp-minim-iid-866449244,Automatic,Bensin
mitsubishi xpander,240000000.0,mitsubishi,xpander,2020.0,10.000-15.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-2020-iid-866445879,Automatic,Bensin
mitsubishi xpander,215000000.0,mitsubishi,xpander,2019.0,45.000-50.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-automatic-2019-iid-866443942,Automatic,Bensin
Ultimate Bensin,209100000.0,,,1.0,,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-4x2-at-tahun-2017-iid-863397841,,
SPORT AT,218000000.0,,,,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-sport-2019-at-iid-866396526,,
mitsubishi xpander,220000000.0,mitsubishi,xpander,2019.0,40.000-45.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/tdp30-xpander-ultimate-at-2019-cruise-control-silver-iid-866394304,Automatic,Bensin
mitsubishi xpander,198000000.0,mitsubishi,xpander,2017.0,180.000-185.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-at-2017-iid-866389285,Automatic,Bensin
mitsubishi xpander,220000000.0,mitsubishi,xpander,2019.0,70000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-2019-iid-866366470,Otomatis,Bensin
Ultimate Bensin,220000000.0,,,1.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/murah-mitsubishi-xpander-15-ultimate-at-2019-coklat-metalik-iid-866362171,,
Cross Premium Package Bensin,290000000.0,,,1.0,,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-at-cvt-premium-2021-putih-metalik-iid-866361621,,
mitsubishi xpander,215000000.0,mitsubishi,xpander,2019.0,40000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/tdp-15jt-termurah-mitsubishi-xpander-ultimate-2019-iid-866358091,Otomatis,Bensin
Lainlain,259000000.0,,,,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-rockford-black-edition-2021-at-like-new-aoc-iid-866306453,,
Lainlain,259000000.0,,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-rockford-black-edition-2021-at-like-new-aot-iid-866306136,,
mitsubishi xpander,231400000.0,mitsubishi,xpander,2019.0,75.000-80.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-at-2019-2020-iid-866271665,Automatic,Bensin
mitsubishi xpander,213000000.0,mitsubishi,xpander,2018.0,40.000-45.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitshubishi-xpander-ultimate-2018-cruise-control-iid-866267284,Automatic,Bensin
mitsubishi xpander,222000000.0,mitsubishi,xpander,2018.0,10000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866265802,Otomatis,Bensin
Ultime Bensin,210000000.0,,,1.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-2018-iid-866263664,,
GLS Bensin,208000000.0,,,1.0,,"Danau Paris, Aceh Singkil Kab., Aceh D.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-gls-2019-istimewaa-iid-866259536,,
mitsubishi xpander,195000000.0,mitsubishi,xpander,2017.0,80.000-85.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-2017-at-matic-putih-full-record-mitsu-iid-866233969,Automatic,Bensin
