title,price,brand,type,years,milage,location,vehicle_type,url,milage_class
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384624,22
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384684,22
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384853,22
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Bekasi Timur, Bekasi Kota, Jawa Barat",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384742,22
toyota yaris,285000000,toyota,yaris,2020,5.000-10.000,"Mlati, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/vip-dealer-yaris-trd-cvt-matic-2020-iid-864691457,2
toyota yaris,245000000,toyota,yaris,2020,5.000-10.000,"Pamulang, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/toyota-yaris-trd-matic-2020-termurah-lowkm-iid-865848414,2
toyota yaris,236500000,toyota,yaris,2020,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-kuning-2020-iid-865944568,2
toyota yaris,236500000,toyota,yaris,2020,5.000-10.000,"Pondok Aren, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/toyota-yaris-s-trd-at-2020-low-km-iid-865443534,2
toyota yaris,232000000,toyota,yaris,2020,5.000-10.000,"Pondok Aren, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/km-8-ribu-yaris-trd-2020-mt-manual-hitam-istimewa-like-new-iid-866991540,2
toyota yaris,232000000,toyota,yaris,2020,5.000-10.000,"Balaraja, Tangerang Kab., Banten",car,https://www.olx.co.id/item/cash-km-8000-toyota-yaris-s-trd-manual-mt-2020-hitam-seperti-baru-iid-865459526,2
toyota yaris,225000000,toyota,yaris,2020,85.000-90.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/jualcepat-termurah-toyota-yaris-15-trd-sportivo-at-2020-service-rec-iid-866016418,18
toyota yaris,225000000,toyota,yaris,2020,75.000-80.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/termurah-pajak-panjang-yaris-s-trd-sportivo-at-2020-7airbags-iid-866044503,16
toyota yaris,265000000,toyota,yaris,2019,40.000-45.000,"Wiyung, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/pjk-11-23-yaris-trd-at-2019-best-seller-tttunaikredit-bisa-iid-864971592,9
toyota yaris,252000000,toyota,yaris,2019,40.000-45.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-trd-s-matic-2019-7-airbags-kredit-dp-45jt-proses-kilat-iid-867034704,9
toyota yaris,239000000,toyota,yaris,2019,40.000-45.000,"Jambangan, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-2019toyotapromo-dp-10-iid-865918536,9
toyota yaris,255000000,toyota,yaris,2019,35.000-40.000,"Kedungdung, Sampang Kab., Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-2019-bensin-iid-864435087,8
toyota yaris,248000000,toyota,yaris,2019,35.000-40.000,"Tandes, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-15-trd-at-2019-iid-861844781,8
toyota yaris,244000000,toyota,yaris,2019,35.000-40.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-all-new-yaris-s-trd-2019-matic-full-ori-istimewa-iid-864347147,8
toyota yaris,235000000,toyota,yaris,2019,35.000-40.000,"Blimbing, Malang Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-trd-sportivo-at-2019-toyota-iid-866891788,8
toyota yaris,230000000,toyota,yaris,2019,35.000-40.000,"Magersari, Mojokerto Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-at-tahun-2019-iid-866313815,8
toyota yaris,235000000,toyota,yaris,2019,30.000-35.000,"Bondowoso, Bondowoso Kab., Jawa Timur",car,https://www.olx.co.id/item/all-new-yaris-2019-trd-sportivo-7-airbags-iid-866596090,7
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Tegalrejo, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/yaris-trd-sportivo-at-2019-ab-tgn1-orisinil-bisa-kredit-iid-866273219,7
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Bantul, Bantul Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-25juta-yaris-trd-sportivo-at-2019-iid-866420574,7
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Banguntapan, Bantul Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-matic-2019-bisa-kredit-iid-866295520,7
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Sleman, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-45jt-toyota-yaris-trd-sportivo-matic-2019plat-ab-iid-866197195,7
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/bisa-kredit-toyota-yaris-trd-sportivo-at-2019-mobil-siap-pakai-iid-866193467,7
toyota yaris,239000000,toyota,yaris,2019,25.000-30.000,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-866599807,6
toyota yaris,239000000,toyota,yaris,2019,25.000-30.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-866595246,6
toyota yaris,238000000,toyota,yaris,2019,25.000-30.000,"Lamongan, Lamongan  Kab., Jawa Timur",car,https://www.olx.co.id/item/low-km-30rban-toyota-yaris-trd-sportivo-2019-automatic-surabaya-iid-864638361,6
toyota yaris,229500000,toyota,yaris,2019,25.000-30.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/all-new-toyota-yaris-s-trd-sportivo-at-2019-km28rb-pajak-panjang-iid-865282095,6
toyota yaris,228000000,toyota,yaris,2019,25.000-30.000,"Bella Terra Lifestyle, Jl. Boulevard Raya No.kav 1, Klp. Gading Tim., 14240, Kelapa Gading, Kecamatan Kelapa Gading, Kota Jakarta Utara, DKI Jakarta",car,https://www.olx.co.id/item/kondisi-istimewa-toyota-yaris-trd-2019-iid-863141193,6
toyota yaris,240000000,toyota,yaris,2019,20.000-25.000,"Cikupa, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-2019-hitam-km-25rb-gress-rawatan-tangan-pertama-iid-866973461,5
toyota yaris,230000000,toyota,yaris,2019,20.000-25.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/jual-toyota-yaris-15-s-cvt-trd-sportivo-at-2019-murah-siap-pakai-iid-865822090,5
toyota yaris,222000000,toyota,yaris,2019,20.000-25.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-23-ribu-toyota-yaris-s-trd-15-at-2019-iid-866648339,5
toyota yaris,215000000,toyota,yaris,2019,20.000-25.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-all-new-yaris-g-at-2019-tdp-24-jt-tdp-termurah-iid-866130778,5
toyota yaris,210000000,toyota,yaris,2019,20.000-25.000,"Pasar Mobil Kemayoran Blok S 39 - 43 dan S 78, Kemayoran, Kecamatan Pademangan, Jakarta Utara, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-g-2019-at-bensin-hitam-shm-iid-866589720,5
toyota yaris,255000000,toyota,yaris,2019,15.000-20.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-new-at-2019-merah-iid-866830910,4
toyota yaris,255000000,toyota,yaris,2019,15.000-20.000,"Buduran, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-at-merah-2019-iid-866104533,4
toyota yaris,255000000,toyota,yaris,2019,15.000-20.000,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-strd-cvt-automatic-merah-2019-iid-864674286,4
toyota yaris,254444444,toyota,yaris,2019,15.000-20.000,"Sooko, Mojokerto Kab., Jawa Timur",car,https://www.olx.co.id/item/new-yaris-s-trd-15-cvt-matic-th-2019-iid-864532900,4
toyota yaris,254444444,toyota,yaris,2019,15.000-20.000,"Gresik, Gresik Kab., Jawa Timur",car,https://www.olx.co.id/item/new-yaris-15-strd-cvt-matic-th-2019-iid-864532491,4
toyota yaris,227000000,toyota,yaris,2019,15.000-20.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-2019-low-km-19-ribu-full-orisinil-iid-865632251,4
toyota yaris,227000000,toyota,yaris,2019,15.000-20.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-19ribu-toyota-yaris-trd-sportivo-2019-istimewa-iid-865631992,4
toyota yaris,226999000,toyota,yaris,2019,15.000-20.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-19-ribu-record-yaris-trd-sportivo-15-matic-bensin-2019-iid-866554427,4
toyota yaris,226999000,toyota,yaris,2019,15.000-20.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-19-ribu-toyota-yaris-trd-sportivo-15-bensin-matic-2019-iid-866554760,4
toyota yaris,235000000,toyota,yaris,2019,10.000-15.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-s-trd-cvt-2019-7-airbag-baru-km15rb-dinar-autoantik-km-rendah-iid-866417230,3
toyota yaris,230000000,toyota,yaris,2019,10.000-15.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/low-km-pajak-panjang-toyota-yaris-s-trd-2019-kuning-perfect-condition-iid-866805003,3
toyota yaris,220000000,toyota,yaris,2019,10.000-15.000,"Ciputat, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/yaris-trd-2019-airbag-7-manual-iid-866416984,3
toyota yaris,249000000,toyota,yaris,2019,5.000-10.000,"Jl. Barata Jaya XIX No.36, Baratajaya, Kec. Gubeng, Kota SBY, Jawa Timur 60284, Barata Jaya, Kec. Gubeng, Surabaya, Jawa Timur",car,https://www.olx.co.id/item/olxautos-toyota-yaris-15-trd-sportivo-2019-cahaya-mulia-motor-iid-862704864,2
toyota yaris,205000000,toyota,yaris,2019,60.000-65.000,"Jl Kembangan selatan no 10-11 Kembangan Jakbar, Kembangan, Kembangan, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-g-bensin-at-2019-silver-iid-866450877,13
toyota yaris,248000000,toyota,yaris,2019,50.000-55.000,"Jl. Baruk Utara IX, Perumahan Pondok Nirwana No.34. Kedung Baruk, Kec. Rungkut, Surabaya, Jawa TImur, 60298, Kedung Baruk, Kec. Rungkut, 60298, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/olxautos-toyota-yaris-15-trd-sportivo-2019-at-putih-nirwana-mobil-iid-866766584,11
toyota yaris,255000000,toyota,yaris,2019,45.000-50.000,"Mulyorejo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-at-th2019-7-airback-iid-864712186,10
toyota yaris,240000000,toyota,yaris,2019,45.000-50.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-15-s-trd-at-2019-iid-866465511,10
toyota yaris,215000000,toyota,yaris,2019,45.000-50.000,"Jl. Ring Road Utara No.3 F, Ngringin, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Condongcatur, Kec. Depok, Kab. Sleman, DI Yogyakarta",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-2019-15-trd-sportivo-bensin-at-merah-dwi-j-iid-865634329,10
toyota yaris,249000000,toyota,yaris,2019,0-5.000,"Bubutan, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-trd-sportivo-matic-2019-simpanan-iid-864964769,1
toyota yaris,233000000,toyota,yaris,2019,0-5.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-4-rb-yaris-trd-manual-sportivo-20192020-seperti-baru-7-air-bag-iid-866383640,1
toyota yaris,239000000,toyota,yaris,2018,40.000-45.000,"Kediri Kota, Kediri Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-15-trd-sportivo-matic-2018-joker-tangan-pertama-iid-866757584,9
toyota yaris,193000000,toyota,yaris,2018,40.000-45.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-murahlow-kmtoyota-yaris-all-new15-g-cvt-2018-iid-864488250,9
toyota yaris,220000000,toyota,yaris,2018,35.000-40.000,"Purwokerto Timur, Banyumas Kab., Jawa Tengah",car,https://www.olx.co.id/item/yaris-trd-s-at-2018-iid-866007358,8
toyota yaris,216000000,toyota,yaris,2018,35.000-40.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/yaris-15-s-trd-sportivo-at-2018-istimewa-iid-864244718,8
toyota yaris,243000000,toyota,yaris,2018,30.000-35.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/all-new-yaris-s-trd-sportivo-2018-matic-istimewa-iid-864605086,7
toyota yaris,235000000,toyota,yaris,2018,30.000-35.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-new-yaris-trd-at-2018-istimewa-iid-866976801,7
toyota yaris,227000000,toyota,yaris,2018,30.000-35.000,"Mall Tamini Square. Jl Taman Mini 1 No.1, Pinang Ranti, Makasar, Mall Tamini Square, Jakarta Timur, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-2018-at-abu-abu-meta-iid-866498346,7
toyota yaris,232000000,toyota,yaris,2018,25.000-30.000,"Matraman, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/yaris-trd-sportivo-at-cruise-control-iid-866797314,6
toyota yaris,229000000,toyota,yaris,2018,25.000-30.000,"Serpong Utara, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/new-toyota-yaris-trd-sportivo-tahun-2018-low-km-warna-hitam-automatic-iid-865487444,6
toyota yaris,230000000,toyota,yaris,2018,15.000-20.000,"Jl. Jendral Sudirman no 573, Sukahaji, Kecamatan Babakan ciparay, Bandung, Jawa Barat",car,https://www.olx.co.id/item/olxautos-toyota-yaris-s-15-trd-matic-2018-memikat-hati-iid-867001663,4
toyota yaris,229000000,toyota,yaris,2018,10.000-15.000,"Bekasi Utara, Bekasi Kota, Jawa Barat",car,https://www.olx.co.id/item/yaris-trd-sportivo-15-at-2018-merah-super-mulus-super-istimewa-iid-866946557,3
toyota yaris,220000000,toyota,yaris,2018,10.000-15.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-trd-at-2018-km-13rb-iid-865240451,3
toyota yaris,243000000,toyota,yaris,2018,5.000-10.000,"Semampir, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-s-at-barang-masih-bagus-iid-866635597,2
toyota yaris,218000000,toyota,yaris,2018,5.000-10.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-2018-low-km-iid-866558116,2
toyota yaris,215000000,toyota,yaris,2018,70.000-75.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/toyota-yaris-15-trd-sportivo-at-2018-iid-866549720,15
