title,price,brand,type,years,milage,location,vehicle_type,url,milage_class,fuel,transmission
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Karanganyar, Karanganyar Kab., Jawa Tengah",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866887989,6,Bensin,Automatic
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866888080,6,Bensin,Automatic
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-866730055,5,Bensin,Automatic
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-864762324,5,Bensin,Automatic
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-864091155,5,Bensin,Automatic
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-866490451,5,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2020,15.000-20.000,"Sukmajaya, Depok Kota, Jawa Barat",car,https://www.olx.co.id/item/toyota-yaris-s-trd-matic-2020dp-ringansiap-pakai-iid-866987593,4,Bensin,Automatic
toyota yaris,232000000,toyota,yaris,2020,15.000-20.000,"Jl Brigjen sudiarto rt 01 rw 01 kel penggaron kidul kec pedurungan kota semarang jawa tengah, penggaron kidul, kec pedurungan, kota semarang, Jawa tengah",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-trd-2020-manual-iid-866624460,4,Bensin,Manual
toyota yaris,260000000,toyota,yaris,2020,10.000-15.000,"Blimbing, Malang Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-trd-s-facelift-at-2020-akhir-toyota-iid-866091894,3,Bensin,Automatic Triptonic
toyota yaris,252000000,toyota,yaris,2020,10.000-15.000,"Sukajadi, Bandung Kota, Jawa Barat",car,https://www.olx.co.id/item/olxautos-toyota-yaris-trd-sportivo-15-matic-2020-mewwah-iid-863503697,3,Bensin,Automatic
toyota yaris,252000000,toyota,yaris,2020,10.000-15.000,"Semarang Selatan, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/fs-toyota-yaris-trd-sportivo-2020-km-rendah-pemakaian-pribadi-iid-866270940,3,Bensin,Automatic
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384853,22,Bensin,Automatic
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384624,22,Bensin,Automatic
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384684,22,Bensin,Automatic
toyota yaris,123000000,toyota,yaris,2020,105.000-110.000,"Bekasi Timur, Bekasi Kota, Jawa Barat",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-limited-2010-at-bensin-silver-smauto-iid-865384742,22,Bensin,Automatic
toyota yaris,285000000,toyota,yaris,2020,5.000-10.000,"Magelang Selatan, Magelang Kota, Jawa Tengah",car,https://www.olx.co.id/item/yaris-trd-cvt-matic-2020-km-8rb-facelift-iid-864692577,2,Bensin,Automatic Triptonic
toyota yaris,245000000,toyota,yaris,2020,5.000-10.000,"Pamulang, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/toyota-yaris-trd-matic-2020-termurah-lowkm-iid-865848414,2,Bensin,Automatic Triptonic
toyota yaris,236500000,toyota,yaris,2020,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-kuning-2020-iid-865944568,2,Bensin,Automatic
toyota yaris,236500000,toyota,yaris,2020,5.000-10.000,"Pondok Aren, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/toyota-yaris-s-trd-at-2020-low-km-iid-865443534,2,Bensin,Automatic
toyota yaris,232000000,toyota,yaris,2020,5.000-10.000,"Pondok Aren, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/km-8-ribu-yaris-trd-2020-mt-manual-hitam-istimewa-like-new-iid-866991540,2,Bensin,Manual
toyota yaris,232000000,toyota,yaris,2020,5.000-10.000,"Balaraja, Tangerang Kab., Banten",car,https://www.olx.co.id/item/cash-km-8000-toyota-yaris-s-trd-manual-mt-2020-hitam-seperti-baru-iid-865459526,2,Bensin,Manual
toyota yaris,230000000,toyota,yaris,2020,5.000-10.000,"Simokerto, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-cvt-2020-new-model-iid-866807982,2,Bensin,Automatic Triptonic
toyota yaris,225000000,toyota,yaris,2020,85.000-90.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/jualcepat-termurah-toyota-yaris-15-trd-sportivo-at-2020-service-rec-iid-866016418,18,Bensin,Automatic
toyota yaris,225000000,toyota,yaris,2020,75.000-80.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/termurah-pajak-panjang-yaris-s-trd-sportivo-at-2020-7airbags-iid-866044503,16,Bensin,Automatic Triptonic
toyota yaris,250000000,toyota,yaris,2020,0-5.000,"Jambangan, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-trd-manual-15-matic-2020-iid-867327823,1,Bensin,Automatic Triptonic
toyota yaris,255000000,toyota,yaris,2019,40.000-45.000,"Kenjeran, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-s-trd-kuning-2019-matic-yaris-trd-kuning-2019-metik-iid-867281904,9,Bensin,Automatic Triptonic
toyota yaris,252000000,toyota,yaris,2019,40.000-45.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-trd-s-matic-2019-7-airbags-kredit-dp-45jt-proses-kilat-iid-867034704,9,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2019,40.000-45.000,"Genteng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-automatic-2019-iid-867407747,9,Bensin,Automatic Triptonic
toyota yaris,237000000,toyota,yaris,2019,40.000-45.000,"Purwakarta, Purwakarta Kab., Jawa Barat",car,https://www.olx.co.id/item/vip-dealer-t-new-yaris-trd-2019-at-tanpa-perantara-iid-863356280,9,Bensin,Automatic
toyota yaris,250000000,toyota,yaris,2019,35.000-40.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/seven-air-bags-yaris-trd-2019-15-automatic-putih-full-orisinil-iid-867270859,8,Bensin,Automatic
toyota yaris,235000000,toyota,yaris,2019,35.000-40.000,"Blimbing, Malang Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-trd-sportivo-at-2019-toyota-iid-866891788,8,Bensin,Automatic Triptonic
toyota yaris,230000000,toyota,yaris,2019,35.000-40.000,"Magersari, Mojokerto Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-at-tahun-2019-iid-866313815,8,Bensin,Automatic
toyota yaris,235000000,toyota,yaris,2019,30.000-35.000,"Bondowoso, Bondowoso Kab., Jawa Timur",car,https://www.olx.co.id/item/all-new-yaris-2019-trd-sportivo-7-airbags-iid-866596090,7,Bensin,Manual
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Bantul, Bantul Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-25juta-yaris-trd-sportivo-at-2019-iid-866420574,7,Bensin,Automatic
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Banguntapan, Bantul Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-matic-2019-bisa-kredit-iid-866295520,7,Bensin,Automatic
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Sleman, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-45jt-toyota-yaris-trd-sportivo-matic-2019plat-ab-iid-866197195,7,Bensin,Automatic
toyota yaris,225000000,toyota,yaris,2019,30.000-35.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/bisa-kredit-toyota-yaris-trd-sportivo-at-2019-mobil-siap-pakai-iid-866193467,7,Bensin,Automatic
toyota yaris,248000000,toyota,yaris,2019,25.000-30.000,"Bekasi Barat, Bekasi Kota, Jawa Barat",car,https://www.olx.co.id/item/toyota-yaris-s-trd-15-at-2019-yellow-iid-866112621,6,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2019,25.000-30.000,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-866601768,6,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2019,25.000-30.000,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-866599807,6,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2019,25.000-30.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-866595246,6,Bensin,Automatic
toyota yaris,229500000,toyota,yaris,2019,25.000-30.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/all-new-toyota-yaris-s-trd-sportivo-at-2019-km28rb-pajak-panjang-iid-865282095,6,Bensin,Automatic Triptonic
toyota yaris,228000000,toyota,yaris,2019,25.000-30.000,"Bella Terra Lifestyle, Jl. Boulevard Raya No.kav 1, Klp. Gading Tim., 14240, Kelapa Gading, Kecamatan Kelapa Gading, Kota Jakarta Utara, DKI Jakarta",car,https://www.olx.co.id/item/km-low-toyota-yaris-15-trd-sportivo-bensin-at-2019-hitam-iid-857671759,6,Bensin,Automatic
toyota yaris,220000000,toyota,yaris,2019,25.000-30.000,"Taman Sari, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-30-jt-yaris-2019-iid-857658007,6,Bensin,Automatic
toyota yaris,220000000,toyota,yaris,2019,25.000-30.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-30-jt-yaris-2019-iid-857658140,6,Bensin,Automatic
toyota yaris,220000000,toyota,yaris,2019,25.000-30.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-30-jt-yaris-2019-iid-857658232,6,Bensin,Automatic
toyota yaris,240000000,toyota,yaris,2019,20.000-25.000,"Pancoran Mas, Depok Kota, Jawa Barat",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-2019-hitam-km-25rb-tangan-pertama-rawatan-gress-iid-866973528,5,Bensin,Automatic Triptonic
toyota yaris,240000000,toyota,yaris,2019,20.000-25.000,"Cikupa, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-s-trd-sportivo-2019-hitam-km-25rb-gress-rawatan-tangan-pertama-iid-866973461,5,Bensin,Automatic Triptonic
toyota yaris,223000000,toyota,yaris,2019,20.000-25.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-23-ribu-toyota-yaris-s-trd-15-at-2019-iid-866648339,5,Bensin,Automatic Triptonic
toyota yaris,214000000,toyota,yaris,2019,20.000-25.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-all-new-yaris-g-at-2019-tdp-23-jt-tdp-termurah-iid-867385447,5,Bensin,Automatic
toyota yaris,255000000,toyota,yaris,2019,15.000-20.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-new-at-2019-merah-iid-866830910,4,Bensin,Automatic
toyota yaris,254444444,toyota,yaris,2019,15.000-20.000,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/new-yaris-s-trd-15-cvt-matic-th-2019-iid-864532900,4,Bensin,Automatic Triptonic
toyota yaris,254444444,toyota,yaris,2019,15.000-20.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/new-yaris-15-strd-cvt-matic-th-2019-iid-864532491,4,Bensin,Automatic Triptonic
toyota yaris,240000000,toyota,yaris,2019,15.000-20.000,"Ciputat, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/yaris-s-trd-at-2019-hitam-km-25rb-tangan-pertama-pajak-panjang-gress-iid-867123190,4,Bensin,Automatic Triptonic
toyota yaris,227000000,toyota,yaris,2019,15.000-20.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-2019-low-km-19-ribu-full-orisinil-iid-865632251,4,Bensin,Automatic Triptonic
toyota yaris,226999000,toyota,yaris,2019,15.000-20.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-19-ribu-toyota-yaris-trd-sportivo-15-bensin-matic-2019-iid-866554760,4,Bensin,Automatic Triptonic
